-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |      Rel. |    Aki    | Acc. |       Ei           Ek       |                Lower level                |                Upper level                 |Type|    TP  |    Line  |
         Wavelength |         Wavelength |      Int. |    s^-1   |      |     (cm-1)       (cm-1)     |-------------------------------------------|--------------------------------------------|    |   Ref. |    Ref.  |
          Air  (Å)  |          Air  (Å)  |      (?)  |           |      |                             | Conf.     | Term                   | J    | Conf.     | Term                    | J    |    |        |          |
          3436.917  |          3436.9130 |      400c | 1.1e+06   |      | 106215.059   -  135302.600  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 7/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<3>,1/2]  | 7/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          3451.689  |          3451.6870 |     30000 | 1.8e+07   |      | 111174.092   -  140137.134  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 5/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<2>,1/2]  | 5/2  |    |  T7226 |  L11760  |
          3459.164  |          3459.1704 |      350G | 1.5e+05   |      |  95714.406   -  124614.794  | 5d10.7s   | 2S                     | 1/2  | 5d9.6s.6p | (2D<3/2>,1P<1>)*        | 3/2  |    |  T7226 |  L11760  |
          3484.872  |          3484.8719 |      400s | 6.0e+06   |      | 103873.302   -  132560.550  | 5d9.6s.6p | (2D<3/2>,3P<1>)*       | 1/2  | 5d10.9s   | 2S                      | 1/2  |    |  T7226 |  L11760  |
          3488.399  |                    |       150 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3493.859  |          3493.8597 |     8000h | 2.7e+07   |      | 106086.013   -  134699.466  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 3/2  | 5d10.8d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          3509.758  |          3509.7560 |      100h | 4.2e+04   |      |  97095.774   -  125579.636  | 5d9.6s.6p | (2D<3/2>,3P<0>)*       | 3/2  | 5d10.7d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
          3510.625  |          3510.6213 |      800h | 4.8e+06   |      | 106086.013   -  134562.854  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 3/2  | 5d10.8d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
