-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |      Rel. |    Aki    | Acc. |       Ei           Ek       |                Lower level                |                Upper level                 |Type|    TP  |    Line  |
         Wavelength |         Wavelength |      Int. |    s^-1   |      |     (cm-1)       (cm-1)     |-------------------------------------------|--------------------------------------------|    |   Ref. |    Ref.  |
          Air  (Å)  |          Air  (Å)  |      (?)  |           |      |                             | Conf.     | Term                   | J    | Conf.     | Term                    | J    |    |        |          |
          5277.591  |          5277.593  |     18000 |           |      | 146727.968   -  165670.728  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,5/2] | 9/2  | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,5/2]* | 9/2  |    |        |  L11760  |
          5280.146  |          5280.148  |      600h |           |      | 146727.968   -  165661.563  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,5/2] | 9/2  | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,7/2]* | 11/2 |    |        |  L11760  |
          5293.248  |                    |       200 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          5294.177  |          5294.177+ |      400h | 9.2e+06   |      | 123411.351   -  142294.773  | 5d10.5f   | 2F*                    | 5/2  | 5d10.7g   | 2G                      | 7/2  |    |  T7226 |  L11760  |
          5316.067  |          5316.069  |       75c | 1.5e+04   |      |  86178.478   -  104984.138  | 5d9.6s.6p | (2D<5/2>,3P<1>)*       | 3/2  | 5d10.6d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          5372.373  |          5372.374  |        40 |           |      | 146727.968   -  165336.537  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,5/2] | 9/2  | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,5/2]* | 11/2 |    |        |  L11760  |
          5425.253  |          5425.249  |   8000000 | 1.4e+08   |      | 104984.138   -  123411.351  | 5d10.6d   | 2D                     | 3/2  | 5d10.5f   | 2F*                     | 5/2  |    |  T7226 |  L11760  |
          5465.286  |                    |       250 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          5595.268  |          5595.260  |    200000 | 8.8e+06   |      | 105544.042   -  123411.351  | 5d10.6d   | 2D                     | 5/2  | 5d10.5f   | 2F*                     | 5/2  |    |  T7226 |  L11760  |
          5677.105  |          5677.102  | 20000000E | 1.8e+08   |      | 105544.042   -  123153.775  | 5d10.6d   | 2D                     | 5/2  | 5d10.5f   | 2F*                     | 7/2  |    |  T7226 |  L11760  |
          5698.590  |          5698.593  |     1500c | 4.6e+06   |      | 103873.302   -  121416.626  | 5d9.6s.6p | (2D<3/2>,3P<1>)*       | 1/2  | 5d10.8s   | 2S                      | 1/2  |    |  T7226 |  L11760  |
          5851.758  |          5851.766  |     1300c | 8.0e+06   |      | 121960.399   -  139044.521  | 5d9.6s.6p | (2D<3/2>,1P<1>)*       | 5/2  | 5d10.6g   | 2G                      | 7/2  |    |  T7226 |  L11760  |
          5870.899  |                    |       80p |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          5871.279  |          5871.2778 |   1200000 | 1.0e+08   |      | 108298.183   -  125325.531  | 5d10.7p   | 2P*                    | 1/2  | 5d10.7d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          5871.572  |                    |       50u |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          5871.921  |                    |      600h |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          5888.939  |          5888.947  |  2000000c | 3.8e+07   |      | 104984.138   -  121960.399  | 5d10.6d   | 2D                     | 3/2  | 5d9.6s.6p | (2D<3/2>,1P<1>)*        | 5/2  |    |  T7226 |  L11760  |
          5918.496  |          5918.496  |       10w | 3.3e+06   |      | 127795.481   -  144686.984  | 5d10.8p   | 2P*                    | 3/2  | 5d10.11d  | 2D                      | 5/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          5947.680  |          5947.682  |       150 | 4.5e+06   |      | 125325.531   -  142134.148  | 5d10.7d   | 2D                     | 3/2  | 5d10.8f   | 2F*                     | 5/2  |    |  T7226 |  L11760  |
          5961.509  |          5961.520  |     1500c | 1.8e+06   |      | 104984.138   -  121753.739  | 5d10.6d   | 2D                     | 3/2  | 5d9.6s.6p | (2D<3/2>,1P<1>)*        | 1/2  |    |  T7226 |  L11760  |
          5978.916  |                    |      180h |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          6032.653  |                    |       60h |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          6041.045  |          6041.047  |      180h | 4.5e+06   |      | 125579.636   -  142128.476  | 5d10.7d   | 2D                     | 5/2  | 5d10.8f   | 2F*                     | 7/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          6089.794  |          6089.800  |     8000c | 2.7e+06   |      | 105544.042   -  121960.399  | 5d10.6d   | 2D                     | 5/2  | 5d9.6s.6p | (2D<3/2>,1P<1>)*        | 5/2  |    |  T7226 |  L11760  |
          6100.096  |                    |       100 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          6100.332  |          6100.342  |     5000c | 1.8e+07   |      | 109191.648   -  125579.636  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 3/2  | 5d10.7d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
          6141.773  |                    |       150 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          6146.435  |                    |   1500000 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          6146.845  |                    |      350w |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          6149.475  |          6149.4726 | 25000000c | 6.2e+07   |      |  95714.406   -  111971.464  | 5d10.7s   | 2S                     | 1/2  | 5d10.7p   | 2P*                     | 3/2  |    |  T7226 |  L11760  |
          6152.002  |                    |       120 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          6157.138  |                    |       120 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          6158.303  |                    |      1000 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          6194.289  |                    |       70h |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          6196.409  |          6196.421  |      250c | 3.0e+06   |      | 109191.648   -  125325.531  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 3/2  | 5d10.7d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          6242.222  |                    |     65000 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          6291.228  |          6291.230  |     65000 | 2.6e+07   |      | 123153.775   -  139044.524  | 5d10.5f   | 2F*                    | 7/2  | 5d10.6g   | 2G                      | 9/2  |    |  T7226 |  L11760  |
          6360.199  |          6360.199  |      150h | 4.8e+06   |      | 126941.844   -  142660.277  | 5d10.8p   | 2P*                    | 1/2  | 5d10.10d  | 2D                      | 3/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          6394.890  |          6394.887  |     55000 | 1.8e+07   |      | 123411.351   -  139044.521  | 5d10.5f   | 2F*                    | 5/2  | 5d10.6g   | 2G                      | 7/2  |    |  T7226 |  L11760  |
          6440.547  |          6440.547  |       30h | 1.8e+05   |      | 124614.794   -  140137.134  | 5d9.6s.6p | (2D<3/2>,1P<1>)*       | 3/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<2>,1/2]  | 5/2  |    |  T7226 |  L11760  |
          6521.092  |          6521.094  |   150000c | 1.6e+07   |      | 106086.013   -  121416.626  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 3/2  | 5d10.8s   | 2S                      | 1/2  |    |  T7226 |  L11760  |
          6646.684  |          6646.6839 |      1300 |           |      |  35514.624   -   50555.567  | 5d9.6s2   | 2D                     | 5/2  | 5d9.6s2   | 2D                      | 3/2  | UT |        |  L11760  |
          6702.030  |          6702.032  |      170h | 5.3e+06   |      | 127795.481   -  142712.211  | 5d10.8p   | 2P*                    | 3/2  | 5d10.10d  | 2D                      | 5/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          6945.474  |          6945.474  |      120h | 2.2e+06   |      | 121416.626   -  135810.522  | 5d10.8s   | 2S                     | 1/2  | 5d10.9p   | 2P*                     | 3/2  |    |  T7226 |  L11760  |
          7346.508  |          7346.502  |   600000E | 5.3e+07   |      | 111971.464   -  125579.636  | 5d10.7p   | 2P*                    | 3/2  | 5d10.7d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
          7395.622  |                    |     1200h |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          7411.852  |          7411.852  |      600w | 1.1e+07   |      | 125325.531   -  138813.721  | 5d10.7d   | 2D                     | 3/2  | 5d10.7f   | 2F*                     | 5/2  |    |  T7226 |  L11760  |
          7417.864  |          7417.873  |    18000c | 1.2e+07   |      |  95714.406   -  109191.648  | 5d10.7s   | 2S                     | 1/2  | 5d9.6s.6p | (2D<3/2>,3P<2>)*        | 3/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          7486.298  |          7486.294  |     6500w | 8.5e+06   |      | 111971.464   -  125325.531  | 5d10.7p   | 2P*                    | 3/2  | 5d10.7d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          7564.534  |          7564.535  |    12000h | 1.1e+07   |      | 125579.636   -  138795.581  | 5d10.7d   | 2D                     | 5/2  | 5d10.7f   | 2F*                     | 7/2  |    |  T7226 |  L11760  |
          7620.763  |          7620.758  |    60000h | 4.0e+07   |      | 108298.183   -  121416.626  | 5d10.7p   | 2P*                    | 1/2  | 5d10.8s   | 2S                      | 1/2  |    |  T7226 |  L11760  |
          7771.951  |                    |     2000w |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          7881.034  |          7881.035  |      110h | 9.5e+06   |      | 126941.844   -  139627.043  | 5d10.8p   | 2P*                    | 1/2  | 5d10.9d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          7944.555  |          7944.555  |  25000000 | 4.3e+07   |      |  95714.406   -  108298.183  | 5d10.7s   | 2S                     | 1/2  | 5d10.7p   | 2P*                     | 1/2  |    |  T7226 |  L11760  |
          8406.119  |          8406.119  |      100c | 9.8e+06   |      | 127795.481   -  139688.308  | 5d10.8p   | 2P*                    | 3/2  | 5d10.9d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
          8548.664  |          8548.669  |     1000c | 2.0e+07   |      | 121960.399   -  133654.913  | 5d9.6s.6p | (2D<3/2>,1P<1>)*       | 5/2  | 5d10.5g   | 2G                      | 7/2  |    |  T7226 |  L11760  |
          9520.198  |          9520.197  |   600000h | 7.2e+07   |      | 123153.775   -  133654.879  | 5d10.5f   | 2F*                    | 7/2  | 5d10.5g   | 2G                      | 9/2  |    |  T7226 |  L11760  |
          9639.060  |          9639.064  |   180000c | 7.2e+06   |      |  95714.406   -  106086.013  | 5d10.7s   | 2S                     | 1/2  | 5d9.6s.6p | (2D<5/2>,1P<1>)*        | 3/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          9759.557  |          9759.553  |    20000w | 5.1e+07   |      | 123411.351   -  133654.913  | 5d10.5f   | 2F*                    | 5/2  | 5d10.5g   | 2G                      | 7/2  |    |  T7226 |  L11760  |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
