----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |  Rel. |    Aki    | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|                  TP  |   Line  |
         Wavelength |         Wavelength |  Int. |    s^-1   |      |      (cm-1)       (cm-1)      |---------------------------------------|----------------------------------------|    |                 Ref. |   Ref.  |
          Air  (Å)  |          Air  (Å)  |  (?)  |           |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |                      |         |
                    |           4045.965 |       | 4.1e+04   | C    |  93750.5978   -  118459.5975  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<1/2>).5p  | 2[1/2]  | 1   |    |        T1419n,T1218n |         |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
                    |           4054.526 |       | 2.7e+04   | C    |  93750.5978   -  118407.4303  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<1/2>).5p  | 2[3/2]  | 1   |    |        T1419n,T1218n |         |
           4158.590 |           4158.591 |   400 | 1.40e+06  | C    |  93143.7600   -  117183.5901  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 2   |    | T1419n,T1218n,T1164n |  L2634  |
           4164.180 |           4164.180 |    50 | 2.88e+05  | C    |  93143.7600   -  117151.3264  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 1   |    | T1419n,T1218n,T1164n |  L2634  |
           4181.884 |           4181.884 |    50 | 5.61e+05  | C    |  94553.6652   -  118459.5975  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0   | 3s2.3p5.(2P*<1/2>).5p  | 2[1/2]  | 1   |    |        T1419n,T1218n |  L2634  |
           4190.713 |           4190.713 |   100 | 2.80e+05  | C    |  93143.7600   -  116999.3259  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).5p  | 2[5/2]  | 2   |    |               T1218n |  L2634  |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
           4191.029 |           4191.029 |    50 | 5.39e+05  | C    |  94553.6652   -  118407.4303  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0   | 3s2.3p5.(2P*<1/2>).5p  | 2[3/2]  | 1   |    |               T1218n |  L2634  |
           4198.317 |           4198.317 |   200 | 2.57e+06  | C    |  93750.5978   -  117562.9553  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 0   |    |        T1419n,T1218n |  L2634  |
           4200.674 |           4200.675 |   400 | 9.67e+05  | C    |  93143.7600   -  116942.7542  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).5p  | 2[5/2]  | 3   |    |        T1419n,T1218n |  L2634  |
           4251.185 |           4251.185 |    25 | 1.11e+05  | C    |  93143.7600   -  116659.9934  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 1   |    | T1419n,T1218n,T1164n |  L2634  |
