---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|        TP  |   Line  |
          Wavelength |          Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)      |---------------------------------------|----------------------------------------|    |       Ref. |   Ref.  |
           Air  (Å)  |           Air  (Å)  |   (?)  |           |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |            |         |
           3520.4714 |           3520.4711 |  10000 | 9.3e+06   | C    | 135888.7173   -  164285.8872  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<1/2>).4p  | 2[1/2]  | 0   |    |       T172 |  L3451  |
           3562.9551 |           3562.9536 |    150 |           |      | 134459.2871   -  162517.8755  | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<3/2>).4p  | 2[1/2]  | 1   |    |            |  L3451  |
           3593.5263 |           3593.5257 |   5000 | 9.9e+05   | D    | 135888.7173   -  163708.6029  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<1/2>).4p  | 2[3/2]  | 2   |    |      T8043 |  L3451  |
           3593.6385 |           3593.6389 |   3000 | 6.6e+05   | D    | 135888.7173   -  163707.7261  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<1/2>).4p  | 2[1/2]  | 1   |    |      T8043 |  L5951  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           3600.1694 |           3600.1685 |   1000 | 4.3e+05   | D    | 135888.7173   -  163657.2726  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<1/2>).4p  | 2[3/2]  | 1   |    |      T8043 |  L3451  |
           3609.1787 |           3609.1786 |    500 |           |      | 134818.6405   -  162517.8755  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 0   | 2s2.2p5.(2P*<3/2>).4p  | 2[1/2]  | 1   |    |            |  L3451  |
           3633.6643 |           3633.6640 |   1000 | 1.1e+06   | D    | 135888.7173   -  163401.3061  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).4p  | 2[1/2]  | 0   |    |      T8043 |  L3451  |
           3682.2421 |           3682.2421 |   1000 | 1.6e+05   | D    | 135888.7173   -  163038.3544  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).4p  | 2[3/2]  | 2   |    |      T8043 |  L3451  |
           3685.7351 |           3685.7352 |   1000 | 3.9e+05   | D    | 135888.7173   -  163012.6247  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).4p  | 2[3/2]  | 1   |    |      T8043 |  L3451  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           3701.2247 |           3701.2244 |    400 | 2.2e+05   | D    | 135888.7173   -  162899.1169  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).4p  | 2[5/2]  | 2   |    |      T8043 |  L3451  |
           3754.2148 |           3754.2151 |    500 |           |      | 135888.7173   -  162517.8755  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).4p  | 2[1/2]  | 1   |    |            |  L3451  |
           3765.819  |           3765.8396+|    50f |           |      | 135888.7173   -  162435.6780  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<1/2>).3d  | 2[3/2]* | 1   | UT |            |  L3469  |
           3768.047  |           3768.0675+|    50f |           |      | 135888.7173   -  162419.9818  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<1/2>).3d  | 2[3/2]* | 2   | UT |            |  L3469  |
           3769.449  |           3769.4611+|    70f |           |      | 135888.7173   -  162410.1736  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<1/2>).3d  | 2[5/2]* | 3   | UT |            |  L3469  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           3769.654  |           3769.6771+|    50f |           |      | 135888.7173   -  162408.6535  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<1/2>).3d  | 2[5/2]* | 2   | UT |            |  L3469  |
           3882.698  |           3882.7115+|    20f |           |      | 135888.7173   -  161636.6175  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).3d  | 2[3/2]* | 1   | UT |            |  L3469  |
           3887.134  |           3887.1435+|    10f |           |      | 135888.7173   -  161607.2609  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).3d  | 2[3/2]* | 2   | UT |            |  L3469  |
           3889.427  |           3889.4333+|    50f |           |      | 135888.7173   -  161592.1200  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).3d  | 2[7/2]* | 3   | UT |            |  L3469  |
           3899.723  |           3899.7424+|    20f |           |      | 135888.7173   -  161524.1739  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).3d  | 2[1/2]* | 1   | UT |            |  L3469  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           3943.540  |           3943.54+  |     20 |           |      | 148257.7898   -  173608.51    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).10d | 2[3/2]* | 2   |    |            |  L3469  |
           3984.065  |           3984.05+  |     20 |           |      | 148257.7898   -  173350.78    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).9d  | 2[3/2]* | 1   |    |            |  L3469  |
           3984.253  |           3984.25+  |     70 |           |      | 148257.7898   -  173349.51    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).9d  | 2[3/2]* | 2   |    |            |  L3469  |
           3995.298  |           3995.30+  |     10 |           |      | 148257.7898   -  173280.14    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).13d | 2[3/2]* | 2   |    |            |  L3469  |
           3995.721  |           3995.70+  |     10 |           |      | 148257.7898   -  173277.59    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).13d | 2[1/2]* | 1   |    |            |  L3469  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           3998.594  |           3998.60+  |     10 |           |      | 148257.7898   -  173259.46    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).10s | 2[1/2]* | 1   |    |            |  L3469  |
           3999.263  |           3999.28+  |     10 |           |      | 148257.7898   -  173255.24    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).10s | 2[1/2]* | 0   |    |            |  L3469  |
