-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    Observed  |                      Ritz    |    Rel. |     Aki    | Acc. |             Ei           Ek             |     Lower level     |     Upper level     |Type|    TP  |      Line  |
                   Wavelength |                   Wavelength |    Int. |     s^-1   |      |           (cm-1)       (cm-1)           |---------------------|---------------------|    |   Ref. |      Ref.  |
                    Air  (Å)  |                    Air  (Å)  |    (?)  |            |      |                                         | Conf.  | Term | J   | Conf.  | Term | J   |    |        |            |
                3750.12986852 |                3750.12986852 |         |            |      | 82258.9543992821   -  108917.1203787    | 2s     | 2S   | 1/2 | 12d    | 2D   | 3/2 | E2 |        |    L11759  |
                              |                3750.130082   |         |            |      | 82258.9543992821   - [108917.11886]     | 2s     | 2S   | 1/2 | 12s    | 2S   | 1/2 | M1 |        |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3750.130105   |         |            |      | 82258.9543992821   - [108917.11870]     | 2s     | 2S   | 1/2 | 12p    | 2P*  | 1/2 |    |        |            |
                3750.151      |                3750.1584     |    8000 | 2.8337e+04 | AAA  | 82259.158          -  108917.1209       | 2      |      |     | 12     |      |     |    |  T8637 |  L7436c29  |
                              |                3750.1515     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c40  |
                              |                3750.17629816 |         |            |      | 82259.2850014      -  108917.12094342   | 2p     | 2P*  | 3/2 | 12d    | 2D   | 5/2 |    |        |            |
                              |                3750.1763     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c41  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3750.17637761 |         |            |      | 82259.2850014      -  108917.1203787    | 2p     | 2P*  | 3/2 | 12d    | 2D   | 3/2 |    |        |            |
                              |                3750.176591   |         |            |      | 82259.2850014      - [108917.11886]     | 2p     | 2P*  | 3/2 | 12s    | 2S   | 1/2 |    |        |            |
                              |                3770.603010   |         |            |      | 82258.9191133      - [108772.343536]    | 2p     | 2P*  | 1/2 | 11d    | 2D   | 3/2 |    |        |            |
                              |                3770.603290   |         |            |      | 82258.9191133      - [108772.34157]     | 2p     | 2P*  | 1/2 | 11s    | 2S   | 1/2 |    |        |            |
                              |                3770.6056     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c42  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3770.608026   |         |            |      | 82258.9543992821   - [108772.34355]     | 2s     | 2S   | 1/2 | 11p    | 2P*  | 3/2 |    |        |            |
                              |                3770.608309   |         |            |      | 82258.9543992821   - [108772.34157]     | 2s     | 2S   | 1/2 | 11s    | 2S   | 1/2 | M1 |        |            |
                              |                3770.608339   |         |            |      | 82258.9543992821   - [108772.34135]     | 2s     | 2S   | 1/2 | 11p    | 2P*  | 1/2 |    |        |            |
                              |                3770.6300     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c43  |
                3770.633      |                3770.6368     |    9000 | 4.3972e+04 | AAA  | 82259.158          -  108772.3445       | 2      |      |     | 11     |      |     |    |  T8637 |  L7436c29  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3770.654943   |         |            |      | 82259.2850014      - [108772.344270]    | 2p     | 2P*  | 3/2 | 11d    | 2D   | 5/2 |    |        |            |
                              |                3770.6550     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c44  |
                              |                3770.655047   |         |            |      | 82259.2850014      - [108772.343536]    | 2p     | 2P*  | 3/2 | 11d    | 2D   | 3/2 |    |        |            |
                              |                3770.655327   |         |            |      | 82259.2850014      - [108772.34157]     | 2p     | 2P*  | 3/2 | 11s    | 2S   | 1/2 |    |        |            |
                              |                3797.87004819 |         |            |      | 82258.9191133      - [108581.9934250]   | 2p     | 2P*  | 1/2 | 10d    | 2D   | 3/2 |    |        |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3797.870427   |         |            |      | 82258.9191133      - [108581.99080]     | 2p     | 2P*  | 1/2 | 10s    | 2S   | 1/2 |    |        |            |
                              |                3797.8727     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c45  |
                3797.87499854 |                3797.87499854 |         |            |      | 82258.9543992821   -  108581.9944009    | 2s     | 2S   | 1/2 | 10d    | 2D   | 5/2 | E2 |        |  L7369u33  |
                              |                3797.875137   |         |            |      | 82258.9543992821   - [108581.99344]     | 2s     | 2S   | 1/2 | 10p    | 2P*  | 3/2 |    |        |            |
                              |                3797.875518   |         |            |      | 82258.9543992821   - [108581.99080]     | 2s     | 2S   | 1/2 | 10s    | 2S   | 1/2 | M1 |        |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3797.875559   |         |            |      | 82258.9543992821   - [108581.99051]     | 2s     | 2S   | 1/2 | 10p    | 2P*  | 1/2 |    |        |            |
                              |                3797.8974     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c46  |
                3797.909      |                3797.9043     |   17000 | 7.1225e+04 | AAA  | 82259.158          -  108581.9945       | 2      |      |     | 10     |      |     |    |  T8637 |  L7436c29  |
                              |                3797.92269939 |         |            |      | 82259.2850014      -  108581.9944009    | 2p     | 2P*  | 3/2 | 10d    | 2D   | 5/2 |    |        |            |
                              |                3797.9227     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c47  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3797.92284022 |         |            |      | 82259.2850014      - [108581.9934250]   | 2p     | 2P*  | 3/2 | 10d    | 2D   | 3/2 |    |        |            |
                              |                3797.923219   |         |            |      | 82259.2850014      - [108581.99080]     | 2p     | 2P*  | 3/2 | 10s    | 2S   | 1/2 |    |        |            |
                              |                3835.355893   |         |            |      | 82258.9191133      - [108324.724162]    | 2p     | 2P*  | 1/2 | 9d     | 2D   | 3/2 |    |        |            |
                              |                3835.356424   |         |            |      | 82258.9191133      - [108324.72055]     | 2p     | 2P*  | 1/2 | 9s     | 2S   | 1/2 |    |        |            |
                              |                3835.3587     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c48  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3835.361082   |         |            |      | 82258.9543992821   - [108324.72418]     | 2s     | 2S   | 1/2 | 9p     | 2P*  | 3/2 |    |        |            |
                              |                3835.361616   |         |            |      | 82258.9543992821   - [108324.72055]     | 2s     | 2S   | 1/2 | 9s     | 2S   | 1/2 | M1 |        |            |
                              |                3835.361673   |         |            |      | 82258.9543992821   - [108324.72016]     | 2s     | 2S   | 1/2 | 9p     | 2P*  | 1/2 |    |        |            |
                              |                3835.3839     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c49  |
                3835.397      |                3835.3909     |   30000 | 1.2156e+05 | AAA  | 82259.158          -  108324.7253       | 2      |      |     | 9      |      |     |    |  T8637 |  L7436c29  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3835.409535   |         |            |      | 82259.2850014      - [108324.725501]    | 2p     | 2P*  | 3/2 | 9d     | 2D   | 5/2 |    |        |            |
                              |                3835.4096     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c50  |
                              |                3835.409732   |         |            |      | 82259.2850014      - [108324.724162]    | 2p     | 2P*  | 3/2 | 9d     | 2D   | 3/2 |    |        |            |
                              |                3835.410263   |         |            |      | 82259.2850014      - [108324.72055]     | 2p     | 2P*  | 3/2 | 9s     | 2S   | 1/2 |    |        |            |
                              |                3889.01981525 |         |            |      | 82258.9191133      -  107965.0548660    | 2p     | 2P*  | 1/2 | 8d     | 2D   | 3/2 |    |        |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3889.02059463 |         |            |      | 82258.9191133      -  107965.0497145    | 2p     | 2P*  | 1/2 | 8s     | 2S   | 1/2 |    |        |            |
                              |                3889.0227     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c51  |
                3889.02486539 |                3889.02486539 |         |            |      | 82258.9543992821   -  107965.05677174   | 2s     | 2S   | 1/2 | 8d     | 2D   | 5/2 | E2 |        |    L11759  |
                              |                3889.02515231 |         |            |      | 82258.9543992821   - [107965.0548753]   | 2s     | 2S   | 1/2 | 8p     | 2P*  | 3/2 |    |        |            |
                3889.02515372 |                3889.02515372 |         |            |      | 82258.9543992821   -  107965.0548660    | 2s     | 2S   | 1/2 | 8d     | 2D   | 3/2 | E2 |        |    L11759  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                3889.02593309 |                3889.02593309 |         |            |      | 82258.9543992821   -  107965.0497145    | 2s     | 2S   | 1/2 | 8s     | 2S   | 1/2 | M1 |        |    L11759  |
                              |                3889.02601724 |         |            |      | 82258.9543992821   - [107965.0491583]   | 2s     | 2S   | 1/2 | 8p     | 2P*  | 1/2 |    |        |            |
