125,7637.21,1086.78,364.095
126,7637.21,1094.03,363.66
127,7637.21,1101.28,363.234
128,7637.21,1108.47,362.809
129,7637.21,1115.82,362.366
130,7637.21,1123.07,361.976
131,7637.21,1130.31,361.54
132,7637.21,1137.65,361.15
133,7637.21,1144.84,360.702
134,7637.21,1152.12,360.272
135,7637.21,1159.36,359.91
136,7637.21,1166.68,359.505
137,7637.21,1173.93,359.108
138,7637.21,1181.22,358.666
139,7637.21,1188.52,358.31
140,7637.21,1195.71,357.922
141,7637.21,1203.03,357.54
142,7637.21,1210.25,357.131
143,7637.21,1217.52,356.722
144,7637.21,1224.81,356.328
145,7637.21,1232.06,355.954
146,7637.21,1239.34,355.611
147,7637.21,1246.62,355.25
148,7637.21,1253.87,354.876
149,7637.21,1261.07,354.487
125,7950.36,1089.05,856.017
126,7950.36,1096.31,855.579
127,7950.36,1103.55,855.155
128,7950.36,1110.75,854.726
129,7950.36,1118.11,854.293
130,7950.36,1125.33,853.906
131,7950.36,1132.58,853.465
132,7950.36,1139.91,853.061
133,7950.36,1147.07,852.621
134,7950.36,1154.32,852.175
135,7950.36,1161.57,851.814
136,7950.36,1168.89,851.414
137,7950.36,1176.14,851
138,7950.36,1183.39,850.554
139,7950.36,1190.7,850.204
140,7950.36,1197.88,849.797
141,7950.36,1205.19,849.418
142,7950.36,1212.4,849.018
143,7950.36,1219.65,848.611
144,7950.36,1226.96,848.211
145,7950.36,1234.19,847.848
146,7950.36,1241.46,847.507
147,7950.36,1248.73,847.131
148,7950.36,1255.98,846.761
149,7950.36,1263.15,846.39
125,8008.36,1089.49,947.937
126,8008.36,1096.75,947.498
127,8008.36,1103.99,947.072
128,8008.36,1111.19,946.642
129,8008.36,1118.54,946.208
130,8008.36,1125.76,945.815
131,8008.36,1133.02,945.372
132,8008.36,1140.34,944.968
133,8008.36,1147.5,944.529
134,8008.36,1154.75,944.082
135,8008.36,1162,943.72
136,8008.36,1169.31,943.319
137,8008.36,1176.57,942.904
138,8008.36,1183.82,942.456
139,8008.36,1191.13,942.108
140,8008.36,1198.3,941.694
141,8008.36,1205.61,941.317
142,8008.36,1212.82,940.911
143,8008.36,1220.07,940.511
144,8008.36,1227.38,940.107
145,8008.36,1234.6,939.744
146,8008.36,1241.87,939.395
147,8008.36,1249.14,939.016
148,8008.36,1256.38,938.648
149,8008.36,1263.54,938.276
125,8016.99,1089.56,961.636
126,8016.99,1096.81,961.198
127,8016.99,1104.06,960.772
128,8016.99,1111.25,960.341
129,8016.99,1118.61,959.907
130,8016.99,1125.83,959.513
131,8016.99,1133.08,959.07
132,8016.99,1140.41,958.666
133,8016.99,1147.57,958.227
134,8016.99,1154.81,957.779
135,8016.99,1162.06,957.417
136,8016.99,1169.37,957.016
137,8016.99,1176.63,956.601
138,8016.99,1183.88,956.152
139,8016.99,1191.19,955.805
140,8016.99,1198.36,955.39
141,8016.99,1205.67,955.013
142,8016.99,1212.88,954.606
143,8016.99,1220.13,954.207
144,8016.99,1227.44,953.802
145,8016.99,1234.66,953.439
146,8016.99,1241.93,953.089
147,8016.99,1249.2,952.71
148,8016.99,1256.44,952.342
149,8016.99,1263.6,951.97
125,8426.96,1092.01,1618.69
126,8426.96,1099.24,1618.22
127,8426.96,1106.47,1617.8
128,8426.96,1113.68,1617.34
129,8426.96,1121,1616.87
130,8426.96,1128.21,1616.45
131,8426.96,1135.48,1615.98
132,8426.96,1142.78,1615.55
133,8426.96,1149.94,1615.1
134,8426.96,1157.15,1614.63
135,8426.96,1164.42,1614.24
136,8426.96,1171.72,1613.82
137,8426.96,1178.97,1613.38
138,8426.96,1186.2,1612.91
139,8426.96,1193.51,1612.53
140,8426.96,1200.67,1612.11
141,8426.96,1207.98,1611.7
142,8426.96,1215.16,1611.25
143,8426.96,1222.43,1610.84
144,8426.96,1229.69,1610.42
145,8426.96,1236.92,1610.03
146,8426.96,1244.17,1609.65
147,8426.96,1251.42,1609.25
148,8426.96,1258.65,1608.87
149,8426.96,1265.81,1608.48
125,8523.78,1092.28,1775.87
126,8523.78,1099.51,1775.39
127,8523.78,1106.73,1774.96
128,8523.78,1113.95,1774.49
129,8523.78,1121.26,1774
130,8523.78,1128.48,1773.58
131,8523.78,1135.74,1773.1
132,8523.78,1143.05,1772.67
133,8523.78,1150.2,1772.2
134,8523.78,1157.42,1771.73
135,8523.78,1164.69,1771.33
136,8523.78,1171.99,1770.89
137,8523.78,1179.23,1770.44
138,8523.78,1186.46,1769.97
139,8523.78,1193.77,1769.58
140,8523.78,1200.93,1769.15
141,8523.78,1208.24,1768.73
142,8523.78,1215.42,1768.28
143,8523.78,1222.69,1767.85
144,8523.78,1229.94,1767.42
145,8523.78,1237.18,1767.03
146,8523.78,1244.43,1766.64
147,8523.78,1251.68,1766.23
148,8523.78,1258.9,1765.84
149,8523.78,1266.07,1765.45
126,8670.33,1099.63,2015.02
127,8670.33,1106.84,2014.57
133,8670.33,1150.32,2011.72
134,8670.33,1157.53,2011.24
135,8670.33,1164.8,2010.82
136,8670.33,1172.1,2010.37
137,8670.33,1179.35,2009.9
141,8670.33,1208.35,2008.13
142,8670.33,1215.54,2007.67
144,8670.33,1230.06,2006.78
125,9125.47,1090.3,2776.8
126,9125.47,1097.55,2776.27
127,9125.47,1104.77,2775.73
128,9125.47,1112.01,2775.2
129,9125.47,1119.36,2774.65
130,9125.47,1126.58,2774.17
131,9125.47,1133.85,2773.61
132,9125.47,1141.17,2773.13
133,9125.47,1148.35,2772.58
134,9125.47,1155.57,2772.05
135,9125.47,1162.85,2771.59
136,9125.47,1170.15,2771.09
137,9125.47,1177.43,2770.57
138,9125.47,1184.66,2770.03
139,9125.47,1191.99,2769.59
140,9125.47,1199.17,2769.09
141,9125.47,1206.49,2768.61
142,9125.47,1213.7,2768.11
143,9125.47,1220.98,2767.61
144,9125.47,1228.28,2767.11
145,9125.47,1235.5,2766.67
146,9125.47,1242.79,2766.21
147,9125.47,1250.04,2765.74
148,9125.47,1257.29,2765.29
149,9125.47,1264.46,2764.83
125,9227.03,1089.39,2950.88
126,9227.03,1096.65,2950.34
127,9227.03,1103.87,2949.8
128,9227.03,1111.13,2949.27
129,9227.03,1118.47,2948.71
130,9227.03,1125.71,2948.21
131,9227.03,1132.98,2947.63
132,9227.03,1140.3,2947.15
133,9227.03,1147.49,2946.59
134,9227.03,1154.72,2946.05
135,9227.03,1161.99,2945.6
136,9227.03,1169.31,2945.08
137,9227.03,1176.59,2944.56
138,9227.03,1183.83,2944.01
139,9227.03,1191.16,2943.55
140,9227.03,1198.35,2943.05
141,9227.03,1205.68,2942.55
142,9227.03,1212.87,2942.03
143,9227.03,1220.17,2941.54
144,9227.03,1227.48,2941.02
145,9227.03,1234.7,2940.57
146,9227.03,1242,2940.09
147,9227.03,1249.25,2939.63
148,9227.03,1256.52,2939.16
149,9227.03,1263.68,2938.68
125,9660.43,1084.85,3713.64
126,9660.43,1092.15,3713.03
127,9660.43,1099.39,3712.6
128,9660.43,1106.67,3712.03
129,9660.43,1114.03,3711.45
130,9660.43,1121.31,3710.9
131,9660.43,1128.59,3710.29
132,9660.43,1135.91,3709.79
133,9660.43,1143.14,3709.23
134,9660.43,1150.45,3708.65
135,9660.43,1157.68,3708.2
136,9660.43,1165.07,3707.65
137,9660.43,1172.32,3707.12
138,9660.43,1179.61,3706.55
139,9660.43,1186.94,3706.04
140,9660.43,1194.17,3705.58
141,9660.43,1201.53,3705.01
142,9660.43,1208.69,3704.46
143,9660.43,1216.09,3703.92
144,9660.43,1223.37,3703.37
145,9660.43,1230.66,3702.92
146,9660.43,1237.95,3702.4
147,9660.43,1245.23,3701.98
148,9660.43,1252.54,3701.46
149,9660.43,1259.71,3700.93
127,9787.19,1098.3,3941.53
128,9787.19,1105.51,3940.96
131,9787.19,1127.44,3939.27
132,9787.19,1134.81,3938.74
135,9787.19,1156.59,3937.12
136,9787.19,1163.95,3936.58
137,9787.19,1171.23,3936.04
140,9787.19,1193.05,3934.48
141,9787.19,1200.43,3933.94
144,9787.19,1222.31,3932.36
145,9787.19,1229.58,3931.87
146,9787.19,1236.89,3931.37
