--- GHOST SPOTS (Python Only) ---
Fiber,Wavelength,X,Y
125,8670.325,1092.3801729352372,2015.2749159765663
125,9227.03,1089.3836208567332,2950.6345478501325
125,8378.661,1091.8098515259032,1540.36004141779
125,8379.9093,1091.8151853565284,1542.3758792699682
125,8419.4727,1091.972530773375,1606.3342273753656
125,8420.7398,1091.977187438636,1608.3848569988522
125,8681.8775,1092.3724125918463,2034.2647953385367
125,8684.3062,1092.370471510718,2038.258984962013
125,8774.0664,1092.2229232088998,2186.360382353478
125,8783.0336,1092.2000630404134,2201.209429011278
125,8786.166,1092.191730708253,2206.398824282412
125,8868.1905,1091.9100858965437,2342.7357608233706
125,9222.59,1089.425480530018,2942.987549544221
125,9224.1108,1089.4111653235848,2945.606443547705
125,9375.8796,1087.8845121332693,3208.9548134278384
125,8776.46,1092.2169652566197,2190.32303590942
125,8779.1607,1092.210116895135,2194.7949540080494
125,8931.1447,1091.6125903097475,2447.9869501073476
125,9354.8,1088.105857025584,3172.1389680625443
125,8864.75,1091.9243339938057,2336.9993560039475
125,8933.282,1091.6012835121924,2451.5699555730275
125,9377.33,1087.8692057235526,3211.4908119922875
125,9687.98,1084.6183713139294,3762.993780264511
126,8670.325,1099.6368625072594,2014.8057091752833
126,9227.03,1096.6548292312393,2950.0945506888147
126,7440.9469,1093.004455135509,59.59043934184638
126,8378.661,1099.0621338875837,1539.918312142939
126,8379.9093,1099.0674703424884,1541.9340556688992
126,8419.4727,1099.22497793487,1605.8893370113308
126,8420.7398,1099.229642321344,1607.9398657558454
126,8681.8775,1099.6294030737815,2033.7942347689186
126,8684.3062,1099.6275260636849,2037.7881371996198
126,8774.0664,1099.4825018648107,2185.8783352031624
126,8783.0336,1099.4599062018733,2200.726206573114
126,8786.166,1099.4516666059146,2205.915189201146
126,8868.1905,1099.1724812822893,2342.241005337964
126,9222.59,1096.6966144001874,2942.4479627196533
126,9224.1108,1096.6823248126489,2945.0667155027677
126,9375.8796,1095.1578110923967,3208.404810833846
126,8776.46,1099.4766143680679,2189.8406759256454
126,8779.1607,1099.469845634038,2194.3122402759295
126,8931.1447,1098.8768520764745,2447.483419629046
126,9354.8,1095.3788939176213,3171.5899201925904
126,8864.75,1099.1866260488475,2336.505076518155
126,8933.282,1098.8656074372504,2451.066126457673
126,9377.33,1095.1425225529974,3210.940749359979
126,9720.83,1091.5926531513328,3821.684052942698
127,8670.325,1106.8515546382685,2014.3368355241105
127,9227.03,1103.8882986506017,2949.5730037092185
127,9787.186,1098.286031228433,3941.2770839070163
127,7490.9335,1100.4262931552935,136.1517011859264
127,8378.661,1106.2783556194845,1539.4763073053564
127,8379.9093,1106.283654591734,1541.4919430211635
127,8419.4727,1106.440112254585,1605.4437662583493
127,8420.7398,1106.4447474845085,1607.4941829898387
127,8681.8775,1106.8443107635144,2033.3242478956195
127,8684.3062,1106.842481302356,2037.317915996456
127,8774.0664,1106.699702958192,2185.3993966566036
127,8783.0336,1106.6773777877154,2200.246392693172
127,8786.166,1106.6692343771804,2205.435069434968
127,8868.1905,1106.3928308507209,2341.7528678687877
127,9222.59,1103.9299495124653,2941.926791132216
127,9224.1108,1103.915706046244,2944.5454151725016
127,9375.8796,1102.3952880982322,3207.8716396051623
127,8776.46,1106.6938869474388,2189.3615037793797
127,8779.1607,1106.6871995011984,2193.832804512829
127,8931.1447,1106.0995764279744,2446.9891489733727
127,9354.8,1102.6158432206512,3171.0582691621885
