Fiber,Wavelength,X,Y
125.0,8670.325,1092.3804082356683,2015.4604669310283
126.0,7440.9469,1093.039440643502,59.76138800068877
127.0,9354.8,1102.6132864529898,3171.236372888235
128.0,8670.325,1114.0609590482934,2014.0326996263243
128.0,7490.9335,1107.6520097168711,135.88946490984105
128.0,9354.8,1109.863454557145,3170.6619338587484
129.0,8670.325,1121.38903121107,2013.5385068446578
129.0,9354.8,1117.2063497381148,3170.0921320400093
130.0,9354.8,1124.4574920805396,3169.601635657071
131.0,8670.325,1135.8399495057067,2012.6111249173412
131.0,7440.9469,1129.2579927840104,57.528707832199416
131.0,7490.9335,1129.4912096269236,134.57865522212555
131.0,9354.8,1131.7262856329562,3169.0370725494495
132.0,8670.325,1143.1603922893776,2012.1585800794212
133.0,9356.787,1146.2349127225666,3171.4271535361777
133.0,7490.9335,1144.0095711080485,133.75377826652456
135.0,7516.721,1158.7202084760054,172.82880553303866
135.0,7490.9335,1158.6066102746458,132.9888360417634
137.0,9354.8,1175.396976004648,3165.8826539862475
138.0,8670.325,1186.6016605635177,2009.3849155196194
138.0,7490.9335,1180.4946581486447,131.82893358737599
139.0,8670.325,1193.8818705766128,2008.9609555732882
139.0,9356.787,1189.958406837082,3168.3050765572198
140.0,8670.325,1201.041440870638,2008.5122151291187
140.0,9354.8,1197.1727506403672,3164.3347143888213
145.0,8670.325,1237.2982648176458,2006.3328031123385
146.0,8670.325,1244.5596687267982,2005.9248541882944
146.0,7440.9469,1238.4184250736014,51.686820394487505
147.0,8670.325,1251.8249477160225,2005.5203164966163
147.0,9354.8,1248.1519235060914,3160.871411360775
148.0,8670.325,1259.0347438254594,2005.1037613622007
148.0,7490.9335,1253.1025187581304,127.92904906974283
149.0,8670.325,1266.256330636369,2004.6927808153418
